nquest,pesofit,y,riscons2
173,.25929403,33267.445,60
375,.77157021,14580,60
465,.30849707,57819.023,0
629,.20202601,37564.723,40
632,.1645721,47306.563,0
633,.19661561,19925.984,50
923,.16706826,32152.533,50
1238,.39492854,18491.104,90
1367,.33485997,16106,30
1763,1.0460155,2200,0
1927,1.1451895,9892.6641,95
1946,.17266029,20269.924,0
2178,.19291522,18731.66,100
2274,1.8449759,18170,0
2447,.6407693,72908.789,50
2485,.15246689,11950,0
2886,.2065863,37320.055,100
3717,.17701994,16953.195,60
4732,.17408568,2800,90
5416,.6295653,27021.68,50
7165,.46145138,46694.98,20
7886,.87504452,41791.063,100
11972,.15906222,30950.656,50
20174,.53875524,40482.281,100
20223,.26720977,51461.398,50
20231,.85518938,41000.996,80
20297,1.9336063,15955.196,100
20372,.99456233,31244.324,0
20711,1.8039421,29145.547,0
20837,.2031932,41404.91,0
21384,.14484015,41119.137,0
21461,.28489202,17628.332,0
22074,.2555615,23600,100
22099,1.2190078,24336.658,100
22168,.38510942,11700,100
22169,.4414745,11700,40
22173,.4447479,16937.656,100
22208,.39653009,28256.525,0
22222,.3879751,25665.652,0
22262,.14475626,40698.754,10
22263,.14886285,30287.861,20
22266,.16074233,40920.637,20
22276,.69005203,32525.34,0
22277,.86229414,40679.125,50
22279,1.0756474,40030.184,50
22286,.63768512,29003.002,80
22292,.76601845,40043.152,50
22516,.14222233,32434.98,90
22624,.10417949,27400,60
22657,.46149716,59494.961,50
22850,.20217121,32118.373,30
22995,.25083649,40448.523,0
22996,.27853748,34639.504,50
23193,.59514368,17549.801,0
23370,.24396819,16898.266,100
23384,1.647933,21431.66,0
23490,.19547258,25255.27,20
23797,.54804975,25209.428,30
23798,.40845296,11702.742,100
23821,.33495191,10675.98,50
23823,.29790294,23149.965,0
23865,.63955522,31944.85,50
23986,.2965765,21150,50
24010,.34652188,7831.6602,0
24147,1.5017223,63158.945,0
24149,2.1435335,7430.2627,100
24158,.30850306,32222.162,40
24171,.27987924,29310,100
24194,.30447617,48394.145,50
24195,.23407762,18774.98,50
24202,.16826904,39600,100
24326,1.9484754,21631.66,50
24374,1.0268217,27002.566,0
24379,.2067232,14803.532,50
24382,1.0128598,13588.648,50
24393,.2067232,14480.706,0
24529,.32771537,65000.742,0
24616,.57561612,30024.324,50
24760,.17960688,16767.824,50
24764,.28544614,26312.545,50
24809,.47825637,48145.449,70
24853,.16781631,49199.387,0
24885,.46158153,9112.0811,100
24924,.55136031,21785.199,50
24984,.94634229,68957.211,50
25007,.38776606,19102.926,50
25138,.65780735,20901.25,100
25148,.74059343,52052.602,90
25245,2.1930566,32400,50
25435,.49837792,81162.992,70
25625,.26247147,260982.14,70
25930,.6968317,38863.324,1
25968,.17596796,26579.371,90
25970,.18910684,17620,90
26048,.23811547,45791.055,0
26163,.26176068,25934.162,0
26281,.51522189,19711.787,0
26310,1.8426427,39163.32,10
26349,.4455553,39313.207,100
26499,.53650212,14550,40
26653,.25116584,18896.742,20
26684,.8250345,19660,70
27109,.99149716,12200,50
27114,.99149716,10806,50
27116,.98075521,18063.32,50
27123,.73760045,23626.641,50
27155,.1430387,99643.047,50
27157,.1430387,39225.082,90
27224,1.4607674,61284.906,50
27238,1.596539,36131.66,50
27505,.4051744,24054.191,50
27509,.38759026,13565.218,50
27730,.13875945,33428.98,50
27734,.12882288,27908.84,90
27739,.14321259,18143.236,100
27742,.16257304,29783.977,70
27744,.11940319,34758.051,50
27881,.26279733,13263.32,90
27912,.1110573,43305.793,50
27923,.14736797,27275.609,100
27930,.15467553,41644.324,50
27947,.16525823,23401.398,70
28100,.14314729,49841.094,50
28221,.22873971,32569.023,60
28331,.18029168,27342.42,0
28346,.18426718,17253.1,0
28362,.30348521,41771.242,0
28441,.53665757,44195.805,50
28802,.68841082,50627.32,50
28859,.44230896,31920.334,95
28897,.45801103,24030.867,10
28920,.18289168,55710.324,50
28992,.43838733,49361.523,70
29006,.20444039,56462.867,0
29140,1.1843027,54065.855,40
29280,1.877949,80143.313,50
29286,.20927948,12050,50
29288,2.740473,24944.896,30
29678,.11271197,20506.18,10
29680,.17911606,16622.84,50
29684,.12194514,54540.148,90
29737,.46149716,65238.25,50
29742,.56798911,54185.141,100
29774,.21389416,14715.925,50
29798,.23617092,34677.875,20
29823,.20686859,41200.766,80
31066,.56706524,30686.08,80
31092,.26019719,50810.547,50
31093,.21429764,25221.043,20
31120,.35982388,60551.098,50
31122,.41915086,38031.66,30
31137,1.218304,85178.828,30
31145,.84059989,31506.912,20
31161,.63399321,44741.16,80
31163,.52463001,36088.648,40
31191,.19042909,24341.66,10
31219,.19268742,11431.66,50
31220,.26992506,69877.844,0
31221,.29258928,54822.164,50
31246,.4833529,31042.516,40
31281,1.421028,39074.684,0
31304,.47423089,54223.855,0
31309,.58576226,67980.664,0
31387,.97053218,40816.531,34
31403,.36799648,34363.824,40
31441,.16484384,53474.695,0
31448,.5446561,45474.805,0
31556,.26413757,22897.166,100
31560,.2378687,30776.18,100
31561,.26413757,21091.66,100
31625,.56972635,43805.695,100
31641,.16383772,33167.625,20
31652,1.1350647,51142.105,0
31665,.24844466,23183.391,0
31671,.18999985,33775.715,0
31695,.29108089,36415.242,50
31724,.71825063,47773.18,0
31735,.24869101,28573.361,0
31757,.66122448,17964.99,50
31785,.21453682,75590.195,90
31798,.24742913,11180,30
31799,.20961663,30516.205,50
31860,.2349399,45840.949,50
31868,.5807755,8774.4316,70
31869,.47927564,13031.66,50
31912,1.2127242,27040.814,10
32001,.52464974,28297.369,50
32028,.52478468,60154.695,70
32033,.52872646,45498.844,80
32034,.46506417,22425.316,20
32041,.4833529,22799.049,20
32044,2.1907992,7488,20
32047,1.7458353,10426.8,0
32052,.4833529,42068.316,50
32057,.72163373,50513.094,30
32066,.48864695,17890,20
32067,.52513242,24120.658,50
32144,.47247249,31662.756,30
32190,.23800631,22520.621,80
32198,.52604914,55051.66,30
32206,.14318082,15907.307,50
32209,.12927446,52547.586,50
32210,.12908886,9700,50
32229,.28042942,12175.328,95
32288,.67938328,52721.977,100
32318,.36979437,22613.242,100
32320,.40392563,58888.523,0
32328,.57501251,14610.441,50
32438,.35077411,12200,50
32464,2.0849569,10450,70
32470,2.0698416,32989.035,20
32471,1.8651835,11799.309,60
32524,.28741172,92431.008,60
32556,.32048693,22545.32,100
32668,.436755,34952.313,70
32703,.25140211,19626.799,100
32709,.25738856,150229.91,90
32713,.33006671,57032.367,0
32729,.31038389,57816.871,20
32731,.29155168,22505.498,20
32733,.28839296,18349.652,50
32734,.35145923,47492.199,50
32742,.21816114,41529.551,0
32751,.1773845,28886.713,0
32764,.28532335,33309.984,0
32765,.20195301,62927.242,0
32772,.17546269,28732.289,0
32810,1.5753998,12729.213,70
32822,.89638066,38071,50
32839,1.0428791,25217.734,0
32861,.17819609,53112.168,50
32887,.24846998,161001.89,0
32962,1.1621569,29474.246,30
32982,.49590141,21518.996,100
32987,.43882257,22209.27,80
33036,.093986437,19550,100
33038,.097968593,18400,100
33228,.62069011,56669.891,0
33245,.62069011,36469.355,30
33275,.62227643,39701.09,80
33303,.18304244,37573.527,0
33328,.20849749,58154.48,50
33335,.17883432,65259.676,0
33336,.23620674,28571.84,50
33347,.16014922,33980.383,40
33348,.15153913,35646.879,5
33451,.45151407,28312.264,90
33455,.17543146,33685.445,50
33479,.28482407,44763.32,50
33644,.26543337,22691.723,40
33751,.22770889,61786.648,0
33761,.28173825,106428.92,0
33773,.32711467,29465.65,90
33777,.48663917,38710.199,20
33778,.50564754,49296.07,50
33781,.48663917,20406.332,30
33814,.16366348,60058.035,0
33823,.58662504,42943.043,0
33839,.21458824,13009.158,0
33877,1.0212693,34151.715,50
33882,.763717,38139.332,100
33888,.83223069,17354.553,50
33889,.68983674,41977.199,50
33937,.23044117,78000,0
33941,.23953487,29207.166,10
33983,.18263154,85291.922,80
33985,.2224889,102608.12,50
33994,.28342155,46259.344,50
34059,.22542043,66213.445,0
34198,.59006888,16618.996,90
34199,.36244994,30608.996,90
34230,.66526902,9386.3906,0
34252,.16513233,18891.23,0
34269,.12696362,52841.727,0
34377,.17847379,15437.156,0
34396,.29499537,30313.498,100
34513,.84739769,51143.242,50
34732,1.912362,27998.301,40
34738,1.9941348,51702.625,50
34778,.15589008,21679.867,50
34793,.44010788,24925.328,90
34800,.33135039,15825.328,90
34825,.30046144,67073.719,0
34833,.24784914,35031.438,30
34886,.35288045,77780.25,70
34900,.41710493,34035.313,50
35005,.24672422,21108.547,10
35022,.43567872,22763.555,100
35032,.25695288,48031.449,0
35106,.42305467,24010.053,100
35234,.48216981,32242.713,100
35319,1.271009,14431.66,50
35322,1.1181759,15633.71,50
35323,1.1247144,17037.057,50
35326,.3115944,32540,50
35340,1.3992703,10140,40
35346,1.022801,10850,60
35349,1.2517745,14880,60
35355,1.265485,12150,60
35366,1.264647,36619.445,50
35370,1.3840768,10070,40
35371,1.4145962,10625,60
35372,1.6490868,35123.031,50
35374,1.2576516,26427.729,60
35379,.31747028,38970.305,20
35458,.37971377,41260.684,0
35498,.1737376,54575.344,30
35500,.16074233,30789.43,10
35502,.15774566,7368.1328,50
35507,.1960713,68715.203,50
35508,.20002471,21032.209,50
35512,.22074452,20026.641,80
35518,.17929979,31057.256,40
35520,.16249557,35550.848,80
35588,.20559353,32961.789,50
35600,.1377579,13192.099,100
35640,.27638954,44017.316,50
35682,.24437578,55575.648,20
35718,.25509313,22119.885,50
35735,.37177292,65629.461,80
35788,.19579528,32497.586,100
35968,.26247147,32047.992,10
36010,.25238246,23100,100
36067,.64582324,38781.777,50
36106,.47351125,32452.043,20
36120,.19462527,37054.09,60
36130,1.1070212,28645.389,50
36131,1.1583455,54798.191,0
36146,1.5394032,56150,100
36148,1.6563374,18963.32,0
36164,2.4907978,37100,50
36186,1.529287,13335.514,0
36249,.21305099,20390,0
36250,.32619995,26000.715,60
36311,.73266757,31284.85,100
36321,.42012733,59684.477,20
36333,.29697788,19631.66,100
36378,.88763666,52127.883,0
36403,.20226644,15600,70
