nquest,pesofit,y,riscons2
51733,1.4357525,37021.094,0
51895,1.1858207,40578.891,100
52700,.26696646,12416.186,100
52718,2.8305075,14204.07,10
52736,.27912521,21273.184,100
53008,.45428628,61144.832,100
53028,.34200165,16224.669,50
53086,1.505245,34029.875,50
53109,1.1164471,22588.539,0
53202,.23068009,28246.482,50
53234,1.1990947,49019.219,100
53373,.26678973,41804.738,0
53380,.19548012,30900,50
53520,.49574652,48081.734,0
53549,.80787945,39108.203,50
53552,1.7283186,21913.623,0
53564,.77397966,66408.047,100
53596,1.3283422,35406.652,0
53871,.43375564,29610.908,30
53997,.8987807,72608.281,50
54143,1.4104137,47249.777,0
55147,.31902778,28769.799,80
55308,.19502988,14426.928,20
55425,.70222229,5011.1709,80
55430,.263585,28407.33,60
55636,2.6724567,65435.52,0
55774,2.9864857,30650,50
56251,4.7630506,26000,0
56465,.4718121,25354.031,30
56563,.26411214,20829.033,20
56582,.82409185,45115.977,20
56603,1.4626766,42000,30
56624,.89852703,42459.332,50
56658,.31007141,56534.707,0
56677,.34551677,33827.488,100
56721,.62436587,40698.559,50
56761,1.6565105,64825.656,20
56762,.6470024,38909.957,50
57027,.74946642,22612.453,50
57042,.42413071,14400,50
57138,.5027386,43122.156,100
57546,.30834222,27880.637,0
57547,.33733389,39949.32,20
57621,.34713334,57352.98,50
57670,.53665555,21712.434,30
57779,.38627976,30021.992,90
57962,.3245599,21563.781,0
58366,.37874144,34303.664,50
60078,.17975572,14170.996,100
91067,2.148159,23943.666,40
91071,3.5084403,46112.453,50
91074,1.1751342,23306.439,100
91079,.37617773,33674.879,0
91081,.40540475,40361.996,0
91095,1.9820783,53309.742,50
111052,.24748892,28723,100
138399,.3411943,31688.178,30
145007,1.0643196,37014.66,20
178001,.42277309,16652.828,0
193016,.25855285,8900,0
213440,.8084327,30610.385,90
224048,.35151374,10540,50
230029,1.7085261,27684.609,20
230037,1.6746029,34900,0
237003,.84007001,70331.406,50
243067,.44653973,68605.328,0
244013,.75054324,27493.652,0
244058,.82706821,18607.33,0
250005,.42413071,18348,0
250010,.92550176,6600,0
250039,.40331247,8400,50
256015,1.1304573,11601.349,50
279054,.16023776,19105.121,0
282083,.29873887,10218,100
282089,.20558123,19915.908,50
284086,.27906039,24660,0
310002,.45959437,16516.494,40
310005,.45131552,9563.6484,50
321009,.79000902,27375.93,50
330057,1.7256457,23243.563,75
332080,.6820457,18928.326,0
333081,.15942614,49582.984,0
355063,.88240421,9106.0176,50
365034,.20750128,18003.666,100
387029,.35764,42217.941,50
389084,.3106803,16500.99,0
500001,1.8899931,19119.205,30
500004,2.8857424,16510.662,0
500026,.2099551,38676.875,70
500090,.30968413,23050,10
500176,.3219794,16907.33,20
500669,.68153524,32805.48,50
500674,.41866931,40134.508,40
500726,4.710577,49316.586,70
501068,.27342424,14870.743,100
501082,.25878185,30809.959,20
501627,.67634642,20374.877,90
501694,.82036465,28612.23,60
501816,1.7900779,34018.328,20
501874,3.2098389,40818.844,10
502060,.40885055,8706.251,50
502355,2.0165906,46512.586,50
502364,1.7726802,23583.953,100
502772,.68060327,25191.805,50
503560,.41350144,38967.914,30
503561,.45117378,52025.598,30
503593,.55763739,25892.395,50
503674,.34307298,110569.29,0
503788,1.5741267,30566.721,0
503931,1.086534,80027.125,0
503950,2.5478797,30324.121,30
503981,1.1767089,30514.605,10
504091,3.3803334,21714.66,0
504157,.59158641,28842.209,0
504363,1.4198215,15601.94,0
504380,1.3249896,19313.824,50
504395,2.2380908,52835.207,50
504453,2.4741383,41223.824,0
504551,.39206496,17802.932,50
504584,2.2852261,14401.273,0
